INFO 2020-11-04 20:04:39,859 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19832
INFO 2020-11-04 20:04:39,894 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,920 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,923 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,925 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,925 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,927 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,929 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-11-04 20:04:39,941 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,942 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,946 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,947 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,948 basehttp 124 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-11-04 20:04:39,949 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-11-04 20:04:39,953 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,963 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,964 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,966 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,969 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,972 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,973 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:39,976 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 304 0
INFO 2020-11-04 20:04:43,983 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:04:44,001 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2020-11-04 20:06:04,599 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:06:08,695 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 28657
INFO 2020-11-04 20:06:08,752 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 304 0
INFO 2020-11-04 20:06:08,752 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 304 0
INFO 2020-11-04 20:06:08,752 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 304 0
INFO 2020-11-04 20:06:08,754 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 304 0
INFO 2020-11-04 20:06:08,768 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-11-04 20:06:12,779 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:06:27,343 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 20:06:27,358 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-theme.css HTTP/1.1" 200 19791
INFO 2020-11-04 20:06:36,400 basehttp 124 "GET /admin/home/banner/1/update/ HTTP/1.1" 200 20290
INFO 2020-11-04 20:06:36,466 basehttp 124 "GET /media/banner/01.jpg HTTP/1.1" 200 32396
INFO 2020-11-04 20:06:40,459 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
